ID,ltable_id,rtable_id,ltable_title,rtable_title,ltable_author,ltable_rating
0,a1,b117,American Psycho,American Psycho,Bret Easton Ellis,3.81
1,a9,b65,The Road,The Road,Cormac McCarthy,3.99
2,a11,b29,It,It,Stephen        King,4.24
3,a14,b50,"Flowers in the Attic (Dollanganger, #1)",Flowers in the Attic,V.C. Andrews,3.85
4,a20,b4,Misery,Misery,Stephen        King,4.23
5,a22,b898,Haunted,Haunted,Chuck Palahniuk,3.6
6,a26,b22,Fahrenheit 451,Fahrenheit 451,Ray Bradbury,3.96
7,a37,b32,Pet Sematary,Pet Sematary,Stephen        King,4.07
8,a38,b269,House of Leaves,House of Leaves,Mark Z. Danielewski,4.09
9,a46,b41,The Exorcist,The Exorcist,William Peter Blatty,4.2
10,a48,b311,The Girl Next Door,The Girl Next Door,Jack Ketchum,3.93
11,a51,b83,"The Silence of the Lambs  (Hannibal Lecter, #2)",The Silence of the Lambs,Thomas  Harris,4.25
12,a60,b757,The Couple Next Door,The house next door,Shari Lapena,3.81
13,a60,b832,The Couple Next Door,The House Next Door,Shari Lapena,3.81
14,a66,b3,Carrie,Carrie,Stephen        King,3.99
15,a92,b145,The Long Walk,The Long Walk,Richard  Bachman,4.07
16,a95,b33,Frankenstein: The 1818 Text,Frankenstein: 1818 Text,Mary Wollstonecraft Shelley,3.88
17,a97,b38,The Stranger,The Stand,Albert Camus,4.03
18,a97,b491,The Stranger,The train,Albert Camus,4.03
19,a97,b848,The Stranger,The stranger,Albert Camus,4.03
20,a105,b762,The Catcher in the Rye,The watcher in the shadows,J.D. Salinger,3.8
21,a106,b84,Gerald's Game,Gerald's Game,Stephen        King,3.58
22,a126,b587,Let the Right One In,Let the right one in,John Ajvide Lindqvist,4.04
23,a132,b327,Exquisite Corpse,Exquisite corpse,Poppy Z. Brite,3.79
24,a139,b40,Cujo,Cujo,Stephen        King,3.79
25,a145,b38,The Stand,The Stand,Stephen        King,4.35
26,a145,b491,The Stand,The train,Stephen        King,4.35
27,a149,b235,The Amityville Horror,The Amityville Horror,Jay Anson,3.83
28,a152,b214,Story of the Eye,Storm of the Century,Georges Bataille,3.65
29,a192,b138,We Have Always Lived in the Castle,We Have Always Lived in the Castle,Shirley Jackson,3.92
30,a193,b315,The Ruins,The Ruins,Scott        Smith,3.68
31,a193,b831,The Ruins,The Ring,Scott        Smith,3.68
32,a194,b792,I Am Legend and Other Stories,I am Legend: and Other Stories,Richard Matheson,
33,a203,b21,The Island of Dr. Moreau,The Island of Doctor Moreau,H.G. Wells,3.73
34,a221,b77,Different Seasons,Different Seasons,Stephen        King,4.36
35,a229,b17,The Picture of Dorian Gray,The Picture of Dorian Gray,Oscar Wilde,4.13
36,a231,b6,Dracula,Dracula,Bram Stoker,4.02
37,a238,b65,The Reader,The Road,Bernhard Schlink,3.78
38,a238,b748,The Reader,The Dead,Bernhard Schlink,3.78
39,a245,b148,"My Sweet Audrina (Audrina, #1)",My Sweet Audrina,V.C. Andrews,3.87
40,a249,b123,The Fall of the House of Usher and Other Tales,The Fall of the House of Usher,Edgar Allan Poe,4.17
41,a251,b35,The Demon,The Dead Zone,Hubert Selby Jr.,3.9
42,a253,b63,Night Shift,Night Shift,Stephen        King,4.04
43,a256,b59,The Haunting of Hill House,The haunting of Hill House,Shirley Jackson,3.82
44,a262,b85,Rose Madder,Rose Madder,Stephen        King,3.75
45,a269,b112,The Plague,The Passage,Albert Camus,4.02
46,a275,b274,"Books of Blood: Volumes One to Three (Books of Blood, #1-3)",Books of Blood: Volumes One to Three,Clive Barker,4.19
47,a280,b132,"Full Dark, No Stars","Full dark, no stars",Stephen        King,4.08
48,a291,b697,The Outsiders,The Other,S.E. Hinton,4.14
49,a295,b336,The Lottery,The Lottery,Shirley Jackson,4.05
50,a307,b24,The Turn of the Screw,The Turn of the Screw,Henry James,3.39
51,a313,b70,The Dark Half,The Dark Half,Stephen        King,3.81
52,a316,b86,Desperation,Desperation,Stephen        King,3.86
53,a317,b72,Thinner,Thinner,Richard  Bachman,3.77
54,a319,b441,The Fifth Child,The fifth child,Doris Lessing,3.63
55,a334,b81,Insomnia,Insomnia,Stephen        King,3.84
56,a362,b60,Needful Things,Needful Things,Stephen        King,3.98
57,a370,b753,Apt Pupil,Apt Pupil,Stephen        King,3.92
58,a374,b972,The Elementary Particles,The Elementals,Michel Houellebecq,3.8
59,a379,b131,The Running Man,The Running Man,Richard  Bachman,3.9
60,a383,b996,The Fall,The fall,Albert Camus,4.04
61,a394,b212,The Mist,The Mist,Stephen        King,3.94
62,a394,b867,The Mist,The sight,Stephen        King,3.94
63,a394,b892,The Mist,The Manitou,Stephen        King,3.94
64,a401,b39,Coraline,Coraline,Neil Gaiman,4.13
65,a401,b280,Coraline,Coraline,Neil Gaiman,4.13
66,a406,b778,Native Son,Native Tongue,Richard Wright,4.03
67,a419,b92,Intensity,Intensity,Dean Koontz,4.04
68,a421,b234,Ghost Story,Ghost story,Peter Straub,3.92
69,a425,b989,The Grifters,The drifter,Jim Thompson,3.93
70,a444,b170,The Stepford Wives,The Stepford Wives,Ira Levin,3.86
71,a484,b828,A Head Full of Ghosts,A Head Full of Ghosts,Paul Tremblay,3.79
72,a504,b76,Something Wicked This Way Comes,Something Wicked This Way Comes,Ray Bradbury,3.9
73,a506,b839,Mister B. Gone,Mister B. Gone,Clive Barker,3.35
74,a509,b378,Things Have Gotten Worse Since We Last Spoke,Things Have Gotten Worse Since We Last Spoke,Eric LaRocca,2.95
75,a510,b217,The Bachman Books,The Bachman Books,Richard  Bachman,4.15
76,a519,b271,The Hellbound Heart,The hellbound heart,Clive Barker,4.08
77,a520,b379,Penpal,Penpal,Dathan Auerbach,3.86
78,a526,b51,Skeleton Crew,Skeleton Crew,Stephen        King,3.97
79,a531,b428,The Coma,The Snowman,Alex Garland,3.39
80,a533,b882,The Dreamers,The dream hunters,Gilbert Adair,3.63
81,a542,b491,The Vegetarian,The train,Han Kang,3.63
82,a587,b88,Dreamcatcher,Dreamcatcher,Stephen        King,3.66
83,a605,b797,Dark Matter,Dark matter,Blake Crouch,4.14
84,a605,b817,Dark Matter,Dark Water,Blake Crouch,4.14
85,a613,b944,Song of Kali,Song of Kali,Dan Simmons,3.61
86,a622,b312,Monster Love,Monster,Carol Topolski,3.55
87,a631,b146,World War Z: An Oral History of the Zombie War,World War Z: an oral history of the zombie war,Max Brooks,4.02
88,a637,b608,The Regulators,The Rats,Richard  Bachman,3.72
89,a637,b703,The Regulators,The regulators,Richard  Bachman,3.72
90,a642,b353,"Uzumaki: Spiral into Horror, Vol. 1",Uzumaki: Spiral into horror,Junji Ito,4.43
91,a647,b686,The Fever,The fever,Megan Abbott,3.1
92,a654,b269,House of Secrets,House of Leaves,Lowell Cauffiel,3.97
93,a682,b495,The Magus,The Mask,John Fowles,4.05
94,a683,b520,Night Film,Night Film,Marisha Pessl,3.78
95,a686,b312,Monster,Monster,Walter Dean Myers,3.73
96,a687,b250,Heart-Shaped Box,Heart-shaped box,Joe Hill,3.84
97,a692,b838,The Awakening,The Awakening,Kate Chopin,3.68
98,a726,b100,The Willows,The Willows,Algernon Blackwood,4.06
99,a732,b244,Come Closer,Come closer,Sara Gran,3.66
100,a744,b423,Harvest Home,Harvest Home,Thomas Tryon,3.82
101,a746,b468,The Little Stranger,The little stranger,Sarah Waters,3.57
102,a757,b781,Feed,Feed,M.T. Anderson,3.55
103,a771,b323,Fledgling,Fledgling,Octavia E. Butler,3.81
104,a773,b149,The Chrysalids,The Chrysalids,John Wyndham,3.93
105,a799,b697,The Outsider,The Other,Stephen        King,4.01
106,a806,b184,Revival,Revival,Stephen        King,3.8
107,a814,b377,Whispers,Whispers,Dean Koontz,3.93
108,a816,b402,The Call of the Wild,The Call of Cthulhu,Jack London,3.91
109,a847,b166,Ruby,Ruby,Cynthia Bond,3.65
110,a852,b197,Smoke and Mirrors: Short Fiction and Illusions,Smoke and mirrors: short fictions and illusions,Neil Gaiman,4.01
111,a866,b652,Spring Water,Spring Break,John     Fitzgerald,4.36
112,a881,b112,The Passenger,The Passage,Lisa Lutz,3.72
113,a886,b185,The Bad Place,The bad place,Dean Koontz,3.94
114,a899,b697,The Other,The Other,Thomas Tryon,3.98
115,a923,b93,The October Country,The October Country,Ray Bradbury,4.11
116,a928,b100,The Wall,The Willows,Marlen Haushofer,4.03
117,a928,b996,The Wall,The fall,Marlen Haushofer,4.03
118,a932,b672,Lost Souls,Lost souls,Poppy Z. Brite,3.9
119,a958,b94,Lisey's Story,Lisey's Story,Stephen        King,3.7
120,a964,b62,Four Past Midnight,Four Past Midnight,Stephen        King,3.95
