id,title,author,rating
1,The Power Of Darkness,Edith Nesbit,1.5
2,The great god Pan,Arthur Machen,3.6
3,Carrie,Stephen King,4.0
4,Misery,Stephen King,4.1
5,Carmilla,Joseph Sheridan Le Fanu,3.9
6,Dracula,Bram Stoker,4.0
7,The Phantom of the Opera,Gaston Leroux,3.9
8,'Salem's lot,Stephen King,4.0
9,Strange case of Dr. Jekyll and Mr. Hyde: with other fables and the misadventures of John Nicholson,Robert Louis Stevenson,3.9
10,Brood of the Witch-queen,Sax Rohmer,4.5
11,The King in Yellow,Robert W. Chambers,4.1
12,The Castle of Otranto,Horace Walpole,3.1
13,Frankenstein,Mary Shelley,3.9
14,Northanger Abbey,Jane Austen,3.9
15,The Invisible Man,H. G. Wells,3.8
16,Twilight,Stephenie Meyer,3.6
17,The Picture of Dorian Gray,Oscar Wilde,4.1
18,The Magician's Nephew,C.S. Lewis,4.0
19,The legend of Sleepy Hollow,Washington Irving,4.2
20,Daisy Miller,Henry James,3.0
21,The Island of Doctor Moreau,H. G. Wells,3.7
22,Fahrenheit 451,Ray Bradbury,4.0
23,The Subtle Knife,Philip Pullman,4.0
24,The Turn of the Screw,Henry James,3.3
25,The Hobbit,J.R.R. Tolkien,4.3
26,Northern Lights: His Dark Materials,Philip Pullman,4.0
27,A Christmas carol,Charles Dickens,4.0
28,The Shining,Stephen King,4.2
29,It,Stephen King,4.1
30,The Dark Tower: The Gunslinger,Stephen King,4.2
31,The Green Mile,Stephen King,4.3
32,Pet Sematary,Stephen King,4.0
33,Frankenstein: 1818 Text,Mary Shelley,3.4
34,New Moon,Stephenie Meyer,4.1
35,The Dead Zone,Stephen King,4.2
36,The House of the Seven Gables,Nathaniel Hawthorne,3.4
37,Breaking Dawn,Stephenie Meyer,3.5
38,The Stand,Stephen King,4.3
39,Coraline,Neil Gaiman,4.0
40,Cujo,Stephen King,3.8
41,The Exorcist,William Peter Blatty,4.0
42,The Amber Spyglass,Philip Pullman,3.8
43,Firestarter,Stephen King,3.9
44,The Illustrated Man,Ray Bradbury,4.1
45,The Dark Tower: The drawing of the three,Stephen King,4.2
46,Percy Jackson and the Lightning Thief,Rick Riordan,4.3
47,Interview With the Vampire,Anne Rice,3.9
48,Herland,Charlotte Perkins Gilman,3.3
49,Bag of Bones,Stephen King,4.0
50,Flowers in the Attic,V. C. Andrews,4.0
51,Skeleton Crew,Stephen King,4.3
52,The Haunted Hotel: A Mystery of Modern Venice,Wilkie Collins,3.0
53,Wizard and Glass,Stephen King,4.1
54,The Waste Lands: The Dark Tower III,Stephen King,4.2
55,The Girl Who Loved Tom Gordon,Stephen King,3.8
56,On Writing,Stephen King,4.2
57,The Haunted Bookshop,Christopher Morley,4.0
58,Witch Wood,John Buchan,3.6
59,The haunting of Hill House,Shirley Jackson,4.0
60,Needful Things,Stephen King,4.1
61,The Eyes of the Dragon,Stephen King,4.4
62,Four Past Midnight,Stephen King,3.9
63,Night Shift,Stephen King,4.5
64,Christine,Stephen King,4.0
65,The Road,Cormac McCarthy,3.8
66,The Empty House and Other Ghost Stories,Algernon Blackwood,5.0
67,The Magician,William Somerset Maugham,3.5
68,Cell: A Novel,Stephen King,3.7
69,Stuart Little,E. B. White,3.4
70,The Dark Half,Stephen King,3.8
71,Day of the Triffids,John Wyndham,4.1
72,Thinner,Stephen King,3.6
73,Tales of Terror and Mystery,Arthur Conan Doyle,
74,Everything's Eventual: 14 Dark Tales,Stephen King,3.8
75,Petals on the wind,V. C. Andrews,3.9
76,Something Wicked This Way Comes,Ray Bradbury,4.1
77,Different Seasons,Stephen King,4.6
78,The complete poetical works of Percy Bysshe Shelley.,Percy Bysshe Shelley,4.0
79,The Tommyknockers,Stephen King,4.2
80,Red Dragon,Thomas Harris,4.3
81,Insomnia,Stephen King,3.9
82,Jaws,Peter Benchley,4.4
83,The Silence of the Lambs,Thomas Harris,4.2
84,Gerald's Game,Stephen King,3.7
85,Rose Madder,Stephen King,4.1
86,Desperation,Stephen King,4.4
87,From a Buick 8,Stephen King,3.5
88,Dreamcatcher,Stephen King,3.5
89,The Mysteries of Udolpho,Ann Radcliffe,3.3
90,Hearts in Atlantis,Stephen King,4.0
91,I am legend,Richard Matheson,4.3
92,Intensity,Dean Koontz,3.7
93,The October Country,Ray Bradbury,4.6
94,Lisey's Story,Stephen King,3.5
95,If there be thorns,V. C. Andrews,3.6
96,Nightmare Abbey,Thomas Love Peacock,2.5
97,Doctor Sleep,Stephen King,4.2
98,Dolores Claiborne,Stephen King,3.1
99,The vampyre: a tale,John William Polidori,3.5
100,The Willows,Algernon Blackwood,4.1
101,Los Suenos De Heaven Leigh,V. C. Andrews,4.2
102,Rosemary's Baby,Ira Levin,4.0
103,Congo,Michael Crichton,3.4
104,Watchers,Dean Koontz,4.0
105,Wolves of the Calla,Stephen King,4.0
106,Eaters of the Dead,Michael Crichton,3.8
107,Stephen King's Danse Macabre,Stephen King,3.9
108,Ocean at the End of the Lane,Neil Gaiman,4.1
109,Small Gods,Terry Pratchett,4.2
110,Hannibal,Thomas Harris,4.2
111,Damned (Esprios Classics),Algernon Blackwood,4.0
112,The Passage,Justin Cronin,3.8
113,Mr. Mercedes,Stephen King,4.1
114,Bunnicula: A Rabbit Tale of Mystery,Deborah Howe,4.1
115,Song of Susannah,Stephen King,4.3
116,Interesting Times,Terry Pratchett,4.2
117,American Psycho,Bret Easton Ellis,3.9
118,Neverwhere,Neil Gaiman,4.1
119,Pyramids: a novel of Discworld,Terry Pratchett,3.9
120,Phantoms,Dean Koontz,4.2
121,Say Cheese & Die,Robert Lawrence Stine,3.9
122,The Polar Express,Chris Van Allsburg,4.1
123,The Fall of the House of Usher,Edgar Allan Poe,4.2
124,Duma Key,Stephen King,4.0
125,The Vampire Lestat: The Second Book in The Vampire Chronicles,Anne Rice,4.3
126,Collector,John Fowles,4.3
127,The Queen of the Damned: Book III of The Vampire Chronicles,Anne Rice,3.8
128,Cat and Mouse,James Patterson,3.3
129,The Halloween Tree,Ray Bradbury,3.7
130,Seeds of Yesterday,V. C. Andrews,4.8
131,The Running Man,Stephen King,3.8
132,"Full dark, no stars",Stephen King,4.1
133,Welcome to Dead House,Robert Lawrence Stine,4.2
134,Night of the living dummy,Robert Lawrence Stine,4.3
135,The House on the Borderland,William Hope Hodgson,2.5
136,Nightmares and Dreamscapes,Stephen King,3.9
137,Just after Sunset: Stories,Stephen King,4.1
138,We Have Always Lived in the Castle,Shirley Jackson,4.4
139,The house by the church-yard,Joseph Sheridan Le Fanu,3.4
140,The Graveyard Book,Neil Gaiman,4.2
141,Stay Out of the Basement,Robert Lawrence Stine,3.7
142,Fallen Hearts,V. C. Andrews,4.2
143,Feet of Clay,Terry Pratchett,4.5
144,Angel negro,V. C. Andrews,5.0
145,The Long Walk,Stephen King,4.0
146,World War Z: an oral history of the zombie war,Max Brooks,3.9
147,Dead Until Dark,Charlaine Harris,3.8
148,My Sweet Audrina,V. C. Andrews,3.5
149,The Chrysalids,John Wyndham,4.4
150,Dawn,V. C. Andrews,4.0
151,Kiss Kiss,Roald Dahl,4.6
152,The Hill of Dreams,Arthur Machen,3.7
153,Garden of Shadows,V. C. Andrews,4.6
154,Secrets of the morning,V. C. Andrews,4.8
155,Jingo,Terry Pratchett,4.3
156,Gates of Paradise,V. C. Andrews,3.0
157,Goosebumps - Monster Blood,Robert Lawrence Stine,3.6
158,The haunted mask,Robert Lawrence Stine,3.4
159,The Haunted Man and the Ghost's Bargain,Charles Dickens,5.0
160,Midnight,Dean Koontz,3.4
161,Odd Thomas,Dean Koontz,4.2
162,Fragile Things,Neil Gaiman,3.8
163,Lasher,Anne Rice,4.0
164,Maus,Art Spiegelman,4.6
165,The historian: a novel,Elizabeth Kostova,3.7
166,Ruby,V. C. Andrews,3.3
167,Eyes of Darkness,Dean Koontz,3.9
168,Uncle Silas,Joseph Sheridan Le Fanu,4.0
169,Skulduggery Pleasant,Derek Landy,4.2
170,The Stepford Wives,Ira Levin,3.5
171,Welcome to Camp Nightmare,Robert Lawrence Stine,4.3
172,The Beetle,Richard Marsh,3.7
173,The White Mountains: The Tripods #1,Sam Youd,4.5
174,The Vampire Armand,Anne Rice,3.8
175,Vampire breath,Robert Lawrence Stine,4.2
176,The Witching Hour,Anne Rice,4.2
177,Pearl in the Mist,V. C. Andrews,2.3
178,Let's Get Invisible!: Goosebumps Presents TV Book #11,Robert Lawrence Stine,3.8
179,Forever Odd,Dean Koontz,4.1
180,I Shall Wear Midnight,Terry Pratchett,4.4
181,Psycho,Robert Bloch,4.3
182,The eye of Osiris: a detective story,R. Austin Freeman,2.0
183,Cycle of the Werewolf,Stephen King,3.5
184,Revival,Stephen King,4.0
185,The bad place,Dean Koontz,3.2
186,Deep trouble,Robert Lawrence Stine,3.3
187,GB: Werewolf Of Fever Swamp: Werewolf Of Fever Swamp (GB),Robert Lawrence Stine,3.6
188,Demon seed,Dean Koontz,3.8
189,"Wieland; or, The transformation: together with Memoirs of Carwin the biloquist, a fragment",Charles Brockden Brown,5.0
190,Relic,Douglas Preston,3.9
191,Web of Dreams,V. C. Andrews,4.4
192,The Scarecrow Walks at Midnight,Robert Lawrence Stine,4.4
193,The thief of always,Clive Barker,4.4
194,More Scary Stories to Tell in the Dark,Alvin Schwartz,3.6
195,Le Cœur révélateur,Edgar Allan Poe,4.3
196,Scary Stories to Tell in the Dark,Alvin Schwartz,3.9
197,Smoke and mirrors: short fictions and illusions,Neil Gaiman,3.8
198,One day at HorrorLand,R. L. Stine,4.6
199,The monk: a romance,Matthew Gregory Lewis,4.0
200,The Tale of the Body Thief: The Vampire Chronicles,Anne Rice,4.1
201,Taltos: tales of the Mayfair witches,Anne Rice,4.2
202,Hell House,Richard Matheson,4.1
203,End of Watch,Stephen King,4.1
204,If It Bleeds,Stephen King,5.0
205,The terror: a novel,Dan Simmons,4.5
206,Marina,Carlos Ruiz Zafón,4.6
207,Goosebumps - Ghost Beach,Robert Lawrence Stine,3.1
208,Dean Koontz's Frankenstein: Book One: Prodigal son,Dean Koontz,3.9
209,The Secret of the Old Mill,Franklin W. Dixon,4.2
210,The Bazaar of Bad Dreams,Stephen King,4.1
211,Mr. Murder,Dean Koontz,4.3
212,The Mist,Stephen King,4.6
213,The zombie survival guide: recorded attacks,Max Brooks,3.9
214,Storm of the Century,Stephen King,4.0
215,At the mountains of madness: and other tales of terror,H.P. Lovecraft,3.8
216,Trigger Warning: Short Fictions and Disturbances,Neil Gaiman,4.0
217,The Bachman Books,Stephen King,3.8
218,The Screaming Staircase,Jonathan Stroud,4.5
219,Lockwood & Co: The Hollow Boy,Jonathan Stroud,4.5
220,The Ghost Next Door,Robert Lawrence Stine,4.2
221,Darkness Comes,Dean Koontz,3.8
222,"The lottery, or, The adventures of James Harris",Shirley Jackson,4.1
223,The New Girl: Fear Street #1,Robert Lawrence Stine,4.0
224,Memnoch the Devil,Anne Rice,4.2
225,Revenge of the Witch,Joseph Delaney,4.0
226,Blood of Elves,Andrzej Sapkowski,4.0
227,The Silver Eyes (Five Nights At Freddy's #1),Scott Cawthon,4.7
228,Catwings,Ursula K. Le Guin,4.0
229,The Masque of the Red Death,Edgar Allan Poe,4.2
230,De akelige aanbidder,Robert Lawrence Stine,3.5
231,First date,Robert Lawrence Stine,4.0
232,Halloween Party: Fear Street #8,Robert Lawrence Stine,4.4
233,"Midnight (Warriors: The New Prophecy, Book 1)",Erin Hunter,4.0
234,Ghost story,Peter Straub,3.6
235,The Amityville Horror,Jay Anson,2.7
236,How to Kill a Monster: Goosebumps #46,R. L. Stine,3.8
237,R.L. Stine's dangerous girls,Robert Lawrence Stine,4.0
238,The Overnight: Fear Street #3,Robert Lawrence Stine,2.9
239,黒猫,Edgar Allan Poe,4.1
240,Cirque du Freak,Darren Shan,4.8
241,The house of thunder,Dean Koontz,3.2
242,The odd number: thirteen tales by Guy de Maupassant,Guy de Maupassant,3.8
243,The Dark Tower VII: The Dark Tower,Stephen King,4.2
244,Come closer,Sara Gran,3.9
245,Annihilation,Jeff VanderMeer,3.6
246,The Sandman: preludes & nocturnes : volume I,Neil Gaiman,4.3
247,The Green Mile: Part One: The two dead girls,Stephen King,3.9
248,The First evil,Robert Lawrence Stine,2.5
249,Lightning,Dean Koontz,3.7
250,Heart-shaped box,Joe Hill,3.5
251,The Wrong Number: Fear Street #5,R. L. Stine,4.2
252,The book of dreams and ghosts,Andrew Lang,
253,The Sleepwalker: Fear Street #6,Robert Lawrence Stine,3.5
254,Remember Me,Christopher Pike,3.5
255,Silent Night: Fear Street Super Chiller #2,Robert Lawrence Stine,4.0
256,Swan song,Robert R. McCammon,4.3
257,Mexican Gothic,Silvia Moreno-Garcia,4.3
258,The Secret Bedroom: Fear Street #13,Robert Lawrence Stine,4.2
259,Revenge of the Living Dummy: Goosebumps HorrorLand #1,Robert Lawrence Stine,4.4
260,Scary Stories 3,Alvin Schwartz,3.9
261,The Best Friend (Fear Street),Robert Lawrence Stine,4.0
262,Switched: Fear Street #31,R. L. Stine,4.0
263,Sunburn: Fear Street #19,Robert Lawrence Stine,3.5
264,The LAST VAMPIRE (LAST VAMPIRE 1): THE LAST VAMPIRE,Christopher Pike,3.6
265,Lockwood & Co.: The Whispering Skull,Jonathan Stroud,4.8
266,Miss Peregrine's Home for Peculiar Children,Ransom Riggs,4.5
267,Missing: Fear Street #4,R. L. Stine,2.6
268,The Cheater: Fear Street #18,Robert Lawrence Stine,4.0
269,House of Leaves,Mark Z. Danielewski,4.3
270,The Stepsister,Robert Lawrence Stine,4.2
271,The hellbound heart,Clive Barker,3.6
272,The girlfriend,Robert Lawrence Stine,3.3
273,College Weekend,Robert Lawrence Stine,3.6
274,Books of Blood: Volumes One to Three,Clive Barker,4.0
275,The Knife: Fear Street #14,Robert Lawrence Stine,3.8
276,The Prom Queen,Robert Lawrence Stine,4.3
277,"The Works of Edgar Allan Poe: The Raven Edition, Volume 2",Edgar Allan Poe,3.0
278,Bury Me Deep,Christopher Pike,4.3
279,The Dare: Fear Street #21,Robert Lawrence Stine,4.2
280,Coraline,P. Craig Russell,4.1
281,Hideaway,Dean Koontz,3.0
282,I am legend: the last man on earth,Richard Matheson,4.1
283,The Confession: Fear Street #38,Robert Lawrence Stine,3.2
284,Weekend (Point),Christopher Pike,4.0
285,The boyfriend,Robert Lawrence Stine,3.8
286,The Surprise Party: Fear Street #2,R. L. Stine,3.3
287,Night Chills,Dean Koontz,4.5
288,The taking,Dean Koontz,4.0
289,Witch,Christopher Pike,4.0
